OCEAN,SAMPLEID,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,FEO_TOTAL,MGO,CAO,NA2O,K2O,P2O5,MNO
Atlantic,DSDP082-0556-014-002/078-084,38.94,-34.69,40.56,0.05,1.34,,9.12,,,9.12,35.56,0.38,0.19,0.01,,0.14
Atlantic,DSDP082-0558-041-003/111-116,37.77,-37.34,,,,,,,,,,,,,,
Atlantic,DSDP082-0558-041-003/111-116,37.77,-37.34,37.72,0.02,0.77,,6.67,,,6.67,37.39,2.01,0.12,0.00,,0.07
Atlantic,DSDP082-0558-042-001/057-059,37.77,-37.34,,,,,,,,,,,,,,
Atlantic,DSDP082-0558-042-001/057-059,37.77,-37.34,38.12,0.02,0.72,,7.29,,,7.29,39.53,0.08,0.15,0.00,,0.11
Atlantic,DSDP082-0560-004-001/060-065,34.72,-38.84,,,,,,,,,,,,,,
Atlantic,DSDP082-0560-004-001/060-065,34.72,-38.84,39.21,0.02,0.84,,6.61,,,6.61,39.06,0.01,0.09,0.00,,0.08
Atlantic,DSDP082-0560-004-001/060-065,34.72,-38.84,,,,,,,,,,,,,,
Atlantic,DSDP082-0560-004-001/060-065,34.72,-38.84,39.30,0.02,0.87,,6.78,,,6.78,39.27,0.01,0.06,0.00,,0.08
Atlantic,DSDP082-0560-005-001/101-105,34.72,-38.84,,,,,,,,,,,,,,
Atlantic,DSDP082-0560-005-001/101-105,34.72,-38.84,39.58,0.02,0.71,,7.09,,,7.09,39.73,0.00,0.06,0.00,,0.07
Atlantic,ISL1176-056-058,-54.09,6.29,46.59,0.06,3.01,,,,9.30,9.30,37.06,2.68,,,,0.19
Atlantic,ISL1176-056-058,-54.09,6.29,,,,,,,,,,,,,,
Atlantic,CHN0035-2-018-900,0.92,-29.33,,,,,,,,,,,,,,
Atlantic,CHN0035-2-018-900,0.92,-29.33,42.22,0.30,4.42,2.86,,4.45,,7.02,34.61,3.92,0.43,0.11,0.05,0.13
Atlantic,CHN0035-2-018-900,0.92,-29.33,,,,,,,,,,,,,,
Atlantic,CHN0035-2-018-900,0.92,-29.33,42.22,0.30,4.42,2.86,,4.45,,7.02,34.16,3.92,0.43,0.11,0.05,0.13
Atlantic,CHN0035-2-018-900,0.92,-29.33,,,,,,,,,,,,,,
Atlantic,AII0020-031-219,0.93,-29.36,,,,,,,,,,,,,,
Atlantic,CHN0035-2-007-320,0.92,-29.38,,,,,,,,,,,,,,
Atlantic,CHN0035-2-007-320,0.92,-29.38,39.04,2.86,19.24,4.43,,4.81,,8.80,5.82,10.83,4.14,1.51,1.35,0.11
Atlantic,CHN0035-2-007-320,0.92,-29.38,,,,,,,,,,,,,,
Atlantic,CHN0035-2-007-327,0.92,-29.38,,,,,,,,,,,,,,
Atlantic,CHN0035-2-007-327,0.92,-29.38,44.35,0.08,3.41,1.19,,7.07,,8.14,38.88,2.77,0.17,0.05,,0.15
Atlantic,CHN0035-2-007-327,0.92,-29.38,,,,,,,,,,,,,,
Atlantic,CHN0035-2-007-327,0.92,-29.38,44.35,0.08,3.41,1.19,,7.07,,8.14,38.88,2.77,0.17,0.05,,0.15
Atlantic,CHN0035-2-007-327,0.92,-29.38,,,,,,,,,,,,,,
Atlantic,CHN0035-2-007-479,0.92,-29.38,,,,,,,,,,,,0.09,,
Atlantic,CHN0035-2-007-479,0.92,-29.38,,,,,,,,,,,,,,
Atlantic,CHN0035-2-007-479,0.92,-29.38,43.80,0.07,2.40,1.41,,6.22,,7.49,42.13,1.13,0.14,0.07,,0.14
Atlantic,CHN0035-2-007-479,0.92,-29.38,,,,,,,,,,,,,,
Atlantic,CHN0035-2-007-479,0.92,-29.38,43.80,0.07,2.40,1.41,,6.22,,7.49,42.13,1.13,0.14,0.07,,0.14
Atlantic,CHN0035-2-007-479,0.92,-29.38,,,,,,,,,,,,,,
Atlantic,HESS-H-2,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,HESS-H-2,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,AII0020-NE4,0.93,-29.37,,,,,,,,,,,,,,
